,cnpj,raiz_cnpj,matriz_filial,razao_social,opcao_pelo_simples,capital_social,bairro,municipio
156,8139576000146,8139576,MATRIZ,AGNNA DESENVOLVIMENTO DE SOFTWARE E PROJETOS LTDA,NAO,1000,SANTO INACIO,CURITIBA
158,8437692000141,8437692,MATRIZ,NETINSIDE INFORMATICA LTDA,NAO,2000,BOA VISTA,CURITIBA
165,8671358000158,8671358,MATRIZ,DIGITAL UP - TECNOLOGIA EM SISTEMAS LTDA,SIM,500000,BIGORRILHO,CURITIBA
170,8765613000121,8765613,MATRIZ,SOLUTTIONS - SOLUCAO EM TECNOLOGIA LTDA,NAO,481000,AGUA VERDE,CURITIBA
173,8889601000109,8889601,MATRIZ,SETBOX INFORMATICA LTDA,NAO,3000,PORTAO,CURITIBA
174,8944685000136,8944685,MATRIZ,HELOISA KARINA COSTA,NAO,5000,CENTRO,CURITIBA
176,9018845000189,9018845,MATRIZ,WEDOIT CONSULTORIA EM INFORMATICA LTDA.,NAO,4000,PILARZINHO,CURITIBA
177,9044119000130,9044119,MATRIZ,AVA TECNOLOGIA LTDA,SIM,100000,BATEL,CURITIBA
178,9052375000170,9052375,MATRIZ,E-NET COMERCIO DE PRODUTOS E SERVICOS DE INFORMATICA LTDA,NAO,10000,TARUMA,CURITIBA
183,9254750000164,9254750,MATRIZ,EASYBYTE INFORMATICA LTDA.,SIM,30000,CENTRO,CURITIBA
185,9276674000198,9276674,MATRIZ,EASYONE CONSULTORIA LTDA,NAO,70000,BOM RETIRO,CURITIBA
187,9336130000174,9336130,MATRIZ,ENGELBERT & CIA. LTDA.,SIM,5000,SANTO INACIO,CURITIBA
190,9401653000157,9401653,MATRIZ,R.J.D. CONSULTORIA E TECNOLOGIA PARA NEGOCIOS LTDA,NAO,16666,BOM RETIRO,CURITIBA
191,9416343000106,9416343,MATRIZ,L. F. KASPRIK TECNOLOGIA DA INFORMACAO EIRELI,SIM,100000,CAJURU,CURITIBA
192,9451699000180,9451699,MATRIZ,CONVISO APPLICATION SECURITY S/A,NAO,200000,JUVEVE,CURITIBA
193,9574379000118,9574379,MATRIZ,SMS SOLUCOES EM TECNOLOGIA DA INFORMACAO LTDA,NAO,3000,HUGO LANGE,CURITIBA
195,9653351000176,9653351,MATRIZ,JAMIL ALVES FONSECA,NAO,10000,MOSSUNGUE,CURITIBA
197,9666433000155,9666433,MATRIZ,VIEW CONSULTORIA EM INOVACAO LTDA,NAO,1000,CENTRO,CURITIBA
207,10358880000126,10358880,MATRIZ,SERCOMPE SOLUCOES CORPORATIVAS E TECNOLOGICAS LTDA,NAO,10000,SAO FRANCISCO,CURITIBA
211,10414615000118,10414615,MATRIZ,SPRO CONSULTORIA E INFORMATICA LTDA,NAO,1000000,REBOUCAS,CURITIBA
214,10468447000143,10468447,MATRIZ,PRIME CONTROL CONSULTORIA LTDA,NAO,3091190,BATEL,CURITIBA
221,10570173000107,10570173,MATRIZ,POLARIS PARTICIPACOES SOCIETARIAS LTDA,NAO,2250000,BOM RETIRO,CURITIBA
224,10657602000170,10657602,MATRIZ,CONTE SERVICOS DE INFORMATICA LTDA.,NAO,10000,NOVO MUNDO,CURITIBA
234,11023375000193,11023375,MATRIZ,BUSINESS SOLUTION SISTEMAS DE INFORMATICA LTDA,SIM,2000,CENTRO,CURITIBA
237,11038137000151,11038137,MATRIZ,GODZ GOVERNANCA E CONSULTORIA EMPRESARIAL LTDA,SIM,84400,SANTO INACIO,CURITIBA
238,11048655000156,11048655,MATRIZ,INTELLIGENT MARITIME SOLUTIONS CONSULTORIA LTDA,SIM,1000,JARDIM SOCIAL,CURITIBA
244,11209861000109,11209861,MATRIZ,GEOINFORMATION TECNOLOGIA LTDA,SIM,5000,NOVO MUNDO,CURITIBA
255,11738958000109,11738958,MATRIZ,DANIEL APARECIDO DE TOLEDO VIANA,SIM,10000,CAMPO COMPRIDO,CURITIBA
257,11902187000135,11902187,MATRIZ,INLINUX INFORMATICA LTDA,NAO,10000,XAXIM,CURITIBA
258,11958556000101,11958556,MATRIZ,ASK CONSULTORIA E SISTEMAS LTDA,NAO,20000,BOA VISTA,CURITIBA
262,12330337000146,12330337,MATRIZ,BEMACHI SORTEMOBIL SERVICOS DE INFORMATICA LTDA.,NAO,1200000,CENTRO,CURITIBA
266,12794444000125,12794444,MATRIZ,HAG CONSULTORIA EM INFORMATICA LTDA,SIM,3000,ATUBA,CURITIBA
267,12803041000103,12803041,MATRIZ,IXS TECNOLOGIA DA INFORMACAO LTDA,NAO,7625,CABRAL,CURITIBA
269,12957904000199,12957904,MATRIZ,ZERO OU UM NEGOCIOS DIGITAIS LTDA,SIM,40000,CENTRO,CURITIBA
280,13976120000170,13976120,MATRIZ,LAPORTE CONSULTORIA EM TECNOLOGIA DA INFORMACAO EIRELI,NAO,78800,BIGORRILHO,CURITIBA
281,13994051000128,13994051,MATRIZ,GOLIVE CONSULTORIA LTDA,SIM,13500,MERCES,CURITIBA
282,14056643000161,14056643,MATRIZ,"CUNHA E MIRANDA ESTRATEGIA, GESTAO E TECNOLOGIA DA INFORMACAO LTDA",SIM,2000,MERCES,CURITIBA
284,14136101000107,14136101,MATRIZ,SONNUS ASSESSORIA E CONSULTORIA EM INFORMATICA LTDA,SIM,3000,BOA VISTA,CURITIBA
285,14147860000167,14147860,MATRIZ,HADAS SERVICOS DE CONSULTORIA EM INFORMATICA LTDA,NAO,10000,PILARZINHO,CURITIBA
288,14456555000157,14456555,MATRIZ,CENTRAIS ONLINE SISTEMAS E CONSULTORIAS LTDA,NAO,5000,JARDIM DAS AMERICAS,CURITIBA
290,14513770000142,14513770,MATRIZ,RED COMMERCE CONSULTORIA E RECRUTAMENTO LTDA,NAO,1246300,CENTRO CIVICO,CURITIBA
294,14699691000178,14699691,MATRIZ,RETAIL CONSULT KSR - SOLUCOES PARA VAREJO LTDA,NAO,155690,CABRAL,CURITIBA
305,15313818000131,15313818,MATRIZ,TELEFOCUS INFORMATICA LTDA,NAO,1000,CENTRO,CURITIBA
312,16584899000177,16584899,MATRIZ,SMART SKY SERVICOS LTDA,NAO,20000,JARDIM BOTANICO,CURITIBA
314,16800966000143,16800966,MATRIZ,RIC MAIS PARANA LTDA.,NAO,1160000,PILARZINHO,CURITIBA
321,17124582000110,17124582,MATRIZ,ERIKA ROMAO CONSULTORIA LTDA,NAO,5000,BAIRRO ALTO,CURITIBA
323,17283617000164,17283617,MATRIZ,VENERA - SOLUCOES CORPORATIVAS LTDA,SIM,1000,BATEL,CURITIBA
327,17915726000157,17915726,MATRIZ,SMARTI CONSULTORIA E SERVICOS DE TI LTDA,SIM,12000,BATEL,CURITIBA
329,17949442000181,17949442,MATRIZ,MALGUEIRO SERVICOS EM TECNOLOGIA DA INFORMACAO LTDA,SIM,10000,SAO FRANCISCO,CURITIBA
330,18173795000103,18173795,MATRIZ,TEXVN INFORMATICA - EIRELI,SIM,70000,HUGO LANGE,CURITIBA
339,19122334000166,19122334,MATRIZ,MIDIA CLASS EDITORA LTDA,SIM,10000,CENTRO,CURITIBA
340,19196565000114,19196565,MATRIZ,GM MONTEIRO GIL - CONSULTORIA EM TECNOLOGIA DA INFORMACAO,NAO,5000,CRISTO REI,CURITIBA
341,19301105000109,19301105,MATRIZ,IMPLEMENTTI TECNOLOGIA EIRELI,SIM,95400,CENTRO,CURITIBA
351,20221014000142,20221014,MATRIZ,RC CONSULTORIA EM TECNOLOGIA DA INFORMACAO LTDA,NAO,3000,CRISTO REI,CURITIBA
356,20980996000156,20980996,MATRIZ,SMA IT SOLUTIONS LTDA,NAO,20000,REBOUCAS,CURITIBA
357,21295146000181,21295146,MATRIZ,FLM TECNOLOGIA EIRELI,SIM,100000,HAUER,CURITIBA
358,21388085000105,21388085,MATRIZ,FELICIO CONSULTORIA EIRELI,SIM,98000,REBOUCAS,CURITIBA
364,21682068000178,21682068,MATRIZ,QEXPERT CONSULTORIA EM BUSINESS INTELLIGENCE LTDA.,NAO,45000,PRADO VELHO,CURITIBA
366,21812398000130,21812398,MATRIZ,MRJP CONSULTORIA EM INFORMATICA S/A,NAO,30000,BATEL,CURITIBA
367,21884232000120,21884232,MATRIZ,NIMBUS NETWORK TECNOLOGIA DA INFORMACAO LTDA,SIM,30000,AGUA VERDE,CURITIBA
379,22516315000129,22516315,MATRIZ,EGROUP CONSULTORIA EM TECNOLOGIA DA INFORMACAO LTDA,NAO,15000,SAO FRANCISCO,CURITIBA
381,22778608000184,22778608,MATRIZ,NEXITERA CONSULTORIA E SOLUCOES EM TI SA.,NAO,7600691,VILA IZABEL,CURITIBA
387,23244090000161,23244090,MATRIZ,THEKLA CONSULTORIA DE SISTEMAS EIRELI,SIM,80000,UBERABA,CURITIBA
389,23450854000175,23450854,MATRIZ,WS TECH - SOLUCOES EM T I EIRELI,SIM,115000,CAJURU,CURITIBA
395,23720406000144,23720406,MATRIZ,AMEW CONSULTORIA LTDA,SIM,5000,CAJURU,CURITIBA
398,24196301000109,24196301,MATRIZ,TRIXX SERVICOS DE INFORMACAO LTDA,NAO,10000,CENTRO,CURITIBA
403,24513991000174,24513991,MATRIZ,CONSORCIO PARANOA,NAO,0,CIDADE INDUSTRIAL,CURITIBA
405,24586847000168,24586847,MATRIZ,PIXELWOLF CONSULTORIA EM TECNOLOGIA LTDA,NAO,20000,VILA IZABEL,CURITIBA
407,24642438000131,24642438,MATRIZ,ALF CONSULTORIA LTDA,NAO,15000,BATEL,CURITIBA
410,24762992000152,24762992,MATRIZ,DECOSTORE INFORMACAO E TECNOLOGIA LTDA.,SIM,100000,BATEL,CURITIBA
412,25239083000105,25239083,MATRIZ,ESCOTTA CONSULTORIA LTDA,NAO,200000,BIGORRILHO,CURITIBA
416,25285557000147,25285557,MATRIZ,ROBOTIMIZE LTDA,SIM,88000,XAXIM,CURITIBA
418,25341444000111,25341444,MATRIZ,CORE SOLUTIONS - AUTOMACAO TECNOLOGICA LTDA,SIM,13000,JUVEVE,CURITIBA
425,26214713000141,26214713,MATRIZ,N&J PARTNERS CONSULTORIA E SERVICOS EM INFORMATICA LTDA,NAO,10000,AGUA VERDE,CURITIBA
427,26252461000145,26252461,MATRIZ,GEEKPOT CONSULTORIA E SERVICOS DE INFORMATICA LTDA,NAO,5000,ALTO DA RUA XV,CURITIBA
439,26960108000110,26960108,MATRIZ,OPENCONNECT SISTEMAS DE INFORMACAO E TECNOLOGIA LTDA,SIM,10000,SAO BRAZ,CURITIBA
441,27090363000111,27090363,MATRIZ,ZERO TI TECNOLOGIA DA INFORMACAO LTDA,SIM,101010,BIGORRILHO,CURITIBA
444,27112738000105,27112738,MATRIZ,PRADO TECNOLOGIA LTDA,SIM,5000,BAIRRO ALTO,CURITIBA
448,27456547000152,27456547,MATRIZ,SEO EXPERTS CONSULTORIA EM TECNOLOGIA DA INFORMATICA EIRELI,SIM,93700,FANNY,CURITIBA
451,27649569000139,27649569,MATRIZ,H. DE PAULA SOUZA JUNIOR - CONSULTORIA EM INFORMATICA,SIM,10000,CAJURU,CURITIBA
452,27667548000146,27667548,MATRIZ,HS2 SERVICOS E SOLUCOES DE INFORMATICA LTDA,NAO,100000,PRADO VELHO,CURITIBA
453,27702054000155,27702054,MATRIZ,VIBE IT SOLUCOES EM TECNOLOGIA LTDA,SIM,1000,ALTO DA RUA XV,CURITIBA
454,27770937000100,27770937,MATRIZ,GO SYSTEM TECNOLOGIA LTDA,SIM,1000,BIGORRILHO,CURITIBA
459,28031071000170,28031071,MATRIZ,DESENVINFO SOLUCOES EM TECNOLOGIA LTDA,SIM,1000,CENTRO CIVICO,CURITIBA
460,28082914000168,28082914,MATRIZ,RAVAGLIO E SAAB TECNOLOGIA E GESTAO LTDA,SIM,10000,CABRAL,CURITIBA
464,28254301000160,28254301,MATRIZ,J. BRINDAROLLI CONSULTORIA LTDA,NAO,2000,AHU,CURITIBA
472,28888367000102,28888367,MATRIZ,ACTIOTECH CONSULTORIA EM TI LTDA,NAO,2000,UBERABA,CURITIBA
473,28946642000105,28946642,MATRIZ,MCC TECNOLOGIA DA INFORMACAO LTDA,SIM,2000,BATEL,CURITIBA
481,29302309000118,29302309,MATRIZ,MARCUS VINICIUS SANTANA LOPES,NAO,1000,BAIRRO ALTO,CURITIBA
482,29309746000163,29309746,MATRIZ,GO4 TECNOLOGIA DA INFORMACAO LTDA,SIM,960000,CENTRO,CURITIBA
483,29432024000100,29432024,MATRIZ,ITRK TECNOLOGIA DA INFORMACAO LTDA,SIM,60000,JARDIM DAS AMERICAS,CURITIBA
484,29472136000186,29472136,MATRIZ,IT+ GESTAO E TECNOLOGIA - EIRELI,SIM,93700,BATEL,CURITIBA
486,29496699000104,29496699,MATRIZ,IBTI INSTITUTO BADAZ - TECNOLOGIA & INOVACAO LTDA,SIM,1000,PORTAO,CURITIBA
487,29636554000161,29636554,MATRIZ,GILGRID APLICATIVOS LTDA,SIM,96000,CRISTO REI,CURITIBA
494,29814528000186,29814528,MATRIZ,P2P BUSINESS SOLUTIONS - EIRELI,SIM,100000,XAXIM,CURITIBA
495,29826123000168,29826123,MATRIZ,REINALDO FREITAS DE CRISTO,SIM,5000,CENTRO,CURITIBA
498,29840265000180,29840265,MATRIZ,MICHAEL ANGELO ODORIZZI FILHO INFORMATICA,NAO,3000,AHU,CURITIBA
499,29890481000130,29890481,MATRIZ,SPRO CONSULTORIA E INFORMATICA LTDA SCP E.O,NAO,100,REBOUCAS,CURITIBA
500,29915283000183,29915283,MATRIZ,L&L ASSESSORIA E CONSULTORIA EMPRESARIAL LTDA,SIM,1000,CIDADE INDUSTRIAL,CURITIBA
504,30033125000189,30033125,MATRIZ,HC CONSULTORIA EM TECNOLOGIA LTDA,SIM,10000,CAMPINA DO SIQUEIRA,CURITIBA
508,30142925000138,30142925,MATRIZ,INSTITUTO FETRANSPAR,NAO,0,REBOUCAS,CURITIBA
511,30281605000169,30281605,MATRIZ,RALTEC TECNOLOGIA DA INFORMACAO LTDA,SIM,30000,AGUA VERDE,CURITIBA
515,30351627000158,30351627,MATRIZ,RAFAEL DA LUZ VAZ - COMERCIO E CONSULTORIA TECNOLOGIA EIRELI,SIM,95400,SITIO CERCADO,CURITIBA
516,30517691000166,30517691,MATRIZ,LUCIANO JOHNSON CONSULTORIA EM TI,SIM,10000,JARDIM DAS AMERICAS,CURITIBA
520,30607379000163,30607379,MATRIZ,MENDEL E ZAMBERLAN CONSULTORIA EM DESENVOLVIMENTO DE SOFTWARE LTDA,SIM,1000,CRISTO REI,CURITIBA
521,30677270000100,30677270,MATRIZ,PAULIN DESIGN E DESENVOLVIMENTO DE SISTEMAS INTERFACES E EXPERIENCIA DO USUARIO LTDA,SIM,1000,JUVEVE,CURITIBA
525,30920180000190,30920180,MATRIZ,NOEMI HISSAE SENAGA,NAO,5000,UBERABA,CURITIBA
526,30935151000100,30935151,MATRIZ,EVERTON SCHIPFER,SIM,1000,BOA VISTA,CURITIBA
527,30974259000102,30974259,MATRIZ,THIAGO BELIZARIO DA SILVA JIMENEZ CONSULTORIA E SERVICOS DE TI,SIM,1000,CENTRO,CURITIBA
529,31041904000199,31041904,MATRIZ,WILLIAM DE SOUZA ANALIO CONSULTORIA EM TI,SIM,1000,MERCES,CURITIBA
530,31079657000110,31079657,MATRIZ,HI-LAW CONSULTORIA EM TECNOLOGIA DA INFORMACAO LTDA,SIM,10000,BATEL,CURITIBA
532,31111152000195,31111152,MATRIZ,LF TECNOLOGIA E GESTAO DE PESSOAS LTDA,SIM,500,AGUA VERDE,CURITIBA
534,31160141000103,31160141,MATRIZ,LOGLOG TECNOLOGIA LTDA,NAO,10000,ALTO DA RUA XV,CURITIBA
535,31168095000180,31168095,MATRIZ,BIM START SERVICOS TECNOLOGICOS LTDA.,NAO,15000,CENTRO,CURITIBA
537,31264122000119,31264122,MATRIZ,VEXPRO SOLUCOES EM TECNOLOGIA LTDA,NAO,20000,AGUA VERDE,CURITIBA
545,31615060000142,31615060,MATRIZ,VALDEMIR FERNANDES DE RAMOS,SIM,1000,AGUA VERDE,CURITIBA
552,32089832000112,32089832,MATRIZ,THIAGO DE OLIVEIRA FELIX CONSULTORIA EM TI,SIM,1000,VILA IZABEL,CURITIBA
554,32161647000191,32161647,MATRIZ,FOBONE TECNOLOGIA DA INFORMACAO LTDA,SIM,2000,PINHEIRINHO,CURITIBA
555,32177085000174,32177085,MATRIZ,ATDM CONSULTORIA EMPRESARIAL LTDA,NAO,95400,MOSSUNGUE,CURITIBA
556,32214357000169,32214357,MATRIZ,DATABZNESS CONSULTORIA EM TI LTDA,SIM,10000,VILA IZABEL,CURITIBA
559,32340117000100,32340117,MATRIZ,SPRO CONSULTORIA E INFORMATICA LTDA SCP TV,NAO,100,REBOUCAS,CURITIBA
560,32340240000121,32340240,MATRIZ,SPRO CONSULTORIA E INFORMATICA LTDA SCP FZC,NAO,100,REBOUCAS,CURITIBA
563,32494446000106,32494446,MATRIZ,SENSO ESTRATEGIA MULTI CANAIS S.A.,NAO,200000,ALTO DA RUA XV,CURITIBA
564,32509849000181,32509849,MATRIZ,THIAGO AZEVEDO DE BASSI COMERCIO DE EQUIPAMENTOS DE INFORMATICA,SIM,1000,SAO BRAZ,CURITIBA
570,33041999000176,33041999,MATRIZ,NETPROJ CONSULTORIA E ASSESSORIA PARA TRANSFORMACAO DIGITAL INTELIGENTE LTDA,SIM,90000,GUABIROTUBA,CURITIBA
576,33332029000120,33332029,MATRIZ,INTERGALAXY HOLDINGS SA,NAO,12575391,CAMPO COMPRIDO,CURITIBA
579,33454191000110,33454191,MATRIZ,JUAN FRANCO XAVIER DA SILVA,SIM,1000,CENTRO,CURITIBA
582,33665328000186,33665328,MATRIZ,LUAN RODRIGO PINTO KOTZ TECNOLOGIA DA INFORMACAO,SIM,1000,BOA VISTA,CURITIBA
585,33759076000154,33759076,MATRIZ,LINCK TECHNOLOGY LTDA,SIM,1000,CENTRO,CURITIBA
586,33808438000150,33808438,MATRIZ,METODO IT TREINAMENTOS E SERVICOS DE INFORMATICA LTDA,SIM,20000,REBOUCAS,CURITIBA
593,34093177000100,34093177,MATRIZ,PEDRO AUGUSTO D BRAZ TECNOOGIA DA INTFORMACAO,SIM,1000,AGUA VERDE,CURITIBA
606,34758830000102,34758830,MATRIZ,DANILO CALVO ZENI - ZENI WEB CONSULTORIA EM TECNOLOGIA DA INFORMACAO,SIM,2000,CIDADE INDUSTRIAL,CURITIBA
617,35140820000163,35140820,MATRIZ,COINOVAC CONSULTORIA EM INFORMATICA LTDA,NAO,20000,CENTRO CIVICO,CURITIBA
621,35333643000131,35333643,MATRIZ,GORDION CONSULTORIA EMPRESARIAL LTDA,SIM,3000,BOM RETIRO,CURITIBA
623,35375291000187,35375291,MATRIZ,DARTHPOYO SERVICOS DE CONSULTORIA EM TECNOLOGIA DA INFORMACAO LTDA,SIM,1000,CIDADE INDUSTRIAL,CURITIBA
625,35458529000138,35458529,MATRIZ,CST IT COMERCIO E SERVICOS LTDA,SIM,1000,JARDIM SOCIAL,CURITIBA
627,35585732000175,35585732,MATRIZ,DEX IT SOLUCOES EM TECNOLOGIA DA INFORMACAO LTDA,SIM,30000,SANTA CANDIDA,CURITIBA
629,35630160000107,35630160,MATRIZ,BIM START SERVICOS TECNOLOGICOS LTDA - SCP,NAO,335000,CENTRO,CURITIBA
632,35749625000135,35749625,MATRIZ,CONCAT ALL - SERVICOS EM TECNOLOGIA DA INFORMACAO LTDA,SIM,10000,CAPAO DA IMBUIA,CURITIBA
634,35829508000181,35829508,MATRIZ,INSTITUTO BRASILEIRO DE PROTECAO DE DADOS LTDA,SIM,3000,AGUA VERDE,CURITIBA
640,36260526000158,36260526,MATRIZ,JOY SOLUCOES E TECNOLOGIA LTDA,SIM,50000,BOQUEIRAO,CURITIBA
641,36325775000184,36325775,MATRIZ,MAX SISTEMAS DE INFORMATICA E CONSULTORIA FINANCEIRA LTDA,NAO,100000,CIDADE INDUSTRIAL,CURITIBA
643,36353517000101,36353517,MATRIZ,ABRANTECK TI SOLUCOES EMPRESARIAIS LTDA,SIM,10000,CAJURU,CURITIBA
647,36467291000170,36467291,MATRIZ,TK TECHNOLOGIES CONSULTORIA EM TECNOLOGIA DA INFORMACAO LTDA,NAO,10000,ALTO DA RUA XV,CURITIBA
648,36474896000198,36474896,MATRIZ,JONAS TERTULIANO DOS SANTOS EIRELI,SIM,104500,CENTRO,CURITIBA
657,36716381000157,36716381,MATRIZ,NASTECH TECNOLOGIA DA INFORMACAO LTDA,SIM,5000,AGUA VERDE,CURITIBA
660,36734254000180,36734254,MATRIZ,COLLISION INTELLIGENCE LABS SERVICOS DE SEGURANCA DA INFORMACAO LTDA,SIM,1200,BOA VISTA,CURITIBA
663,36869780000158,36869780,MATRIZ,TAG TECNOLOGIA EM GESTAO DE PAGAMENTOS S/A,NAO,500000,CENTRO CIVICO,CURITIBA
682,37658745000152,37658745,MATRIZ,ALFA TECH COMERCIO E SERVICO LTDA,SIM,1000,CAJURU,CURITIBA
692,38235218000106,38235218,MATRIZ,RICARDO SANTOS CONSULTORIA EM SOFTWARE LTDA.,NAO,10000,JUVEVE,CURITIBA
693,38475698000174,38475698,MATRIZ,HOLDING KIND OUTSIDERS LTDA,SIM,1000,SEMINARIO,CURITIBA
